Record Number,Amount Requested,Interest Rate Percentage,Loan Length in Months,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio Percentage,FICO Range,Status
688,12000,19.69,60,credit cards,credit_card,315.87,12000,12.26,665-669,0
689,20000,20.85,60,My 2011 Debt Consolidation,debt_consolidation,539.39,20000,20.89,675-679,0
690,3600,7.49,36,For Us,major_purchase,111.97,3600,13.11,735-739,1
691,4000,15.95,60,Loan,other,97.17,4000,6.4,685-689,0
692,12000,6.03,36,Medical,medical,365.23,12000,7.84,755-759,1
693,22000,10.62,36,750+ Credit Score; Refinancing Debt at Lower  to Buy Home by End of Year,credit_card,716.32,22000,8.77,735-739,1
694,4000,11.26,36,pay off small bills,debt_consolidation,131.46,4000,8.77,740-744,1
695,7200,11.26,36,Kitchen Floor and Countertop Replacement,home_improvement,236.62,7200,0.61,715-719,1
696,1500,10.36,36,Family Vacation,vacation,48.66,1500,20.82,695-699,1
697,6000,7.88,36,PAY OFF THE GIANTS,debt_consolidation,187.69,6000,24.72,725-729,1
698,9000,8.94,36,nice,other,285.95,9000,12.42,765-769,1
699,19500,17.06,60,consolidation,debt_consolidation,485.26,19500,16.2,685-689,0
700,2000,11.71,36,debt_consolidation,debt_consolidation,66.16,2000,21.56,695-699,0
701,9600,13.43,60,Wedding,wedding,220.55,9600,14.37,700-704,1
702,15850,16.35,36,Teacher Needs Help,debt_consolidation,559.97,15850,22.84,660-664,0
703,5900,10.71,36,JUST A HELPING HAND,debt_consolidation,192.35,5900,16.24,695-699,1
704,25000,10.75,36,Tightening It Up in 2010,credit_card,815.52,25000,15.7,750-754,1
705,20000,13.72,36,Payoff,debt_consolidation,680.84,20000,6.04,705-709,1
706,10000,16.49,60,Kitchen Remodeling,home_improvement,245.8,10000,2.36,740-744,0
707,4000,7.88,36,Credit Card Consolidation,debt_consolidation,125.13,4000,12.3,715-719,1
708,20000,6.91,60,20k personal loan,home_improvement,248.47,12575,4.44,765-769,1
709,18000,11.03,36,honing my skills,educational,589.56,18000,6.15,705-709,1
710,3000,16.89,36,Moving Loan,moving,106.8,3000,8.03,660-664,0
711,5000,14.65,36,Spring Break Vacation 2012,vacation,172.48,5000,11.3,660-664,1
712,9600,14.11,36,My Cessna Airplane Needs Engine Overhaul,major_purchase,328.6,9600,12.72,665-669,1
713,3500,8.9,36,Debt Consolidation ,debt_consolidation,111.14,3500,15.21,700-704,0
714,1800,11.49,60,my vacation,vacation,39.58,1800,16.44,705-709,0
715,25000,12.98,60,Investment,major_purchase,342.85,15075,4.16,765-769,1
716,3500,6.92,36,Debt,debt_consolidation,107.95,3500,13.19,735-739,1
717,3000,14.26,36,Wedding,wedding,102.92,3000,12.21,670-674,1
718,35000,17.49,60,new business,small_business,879.09,35000,6.2,730-734,0
719,6000,15.58,60,Need to Move and Debt Consolidation,moving,144.58,6000,11.22,700-704,1
720,14825,23.52,60,Start My Life,debt_consolidation,422.37,14825,23.68,660-664,0
721,1600,7.88,36,Apartment Bills,moving,50.05,1600,19.82,715-719,0
722,1500,12.18,36,Personal loan for new apt,other,49.95,1500,14.4,685-689,0
723,4800,16.29,36,life saver,debt_consolidation,169.45,4800,24.18,675-679,0
724,7200,7.29,36,Refinance Debt,credit_card,223.28,7200,23.19,730-734,1
725,20000,15.57,60,OoohLaLa OUt of debt,debt_consolidation,356.54,14800,13.97,705-709,0
726,15000,10.16,36,debt consolidation,medical,485.14,15000,7.87,725-729,0
727,5000,7.43,36,JAL Loan,other,155.38,5000,3.72,810-814,1
728,4500,7.66,36,Boat,major_purchase,140.31,4500,1.47,775-779,0
729,9000,17.14,60,Chuck and Ronda's freedom,debt_consolidation,224.36,9000,20.16,685-689,0
730,10800,14.59,36,vac/remodel,other,372.23,10800,1.96,675-679,1
731,26025,17.14,60,CONSOLIDATION LOAN,debt_consolidation,648.75,26025,1.75,705-709,1
732,5000,14.96,36,wedding,other,173.24,5000,16.17,660-664,0
733,18000,13.99,60,Escape,debt_consolidation,418.74,18000,16.97,740-744,1
734,5000,10.74,36,Getting a New Start,debt_consolidation,163.08,5000,8.31,700-704,1
735,17000,15.31,36,Payoff,credit_card,591.9,17000,13.06,675-679,1
736,3250,8,36,Better Rate,credit_card,101.85,3250,10.26,745-749,1
737,2700,8.9,36,Debt consolidation,debt_consolidation,85.74,2700,29.08,720-724,1
738,8000,17.77,36,CC refinance,credit_card,288.3,8000,18.58,665-669,1
739,3700,10.37,36,CB 98 loan,major_purchase,120.04,3700,11.8,700-704,1
740,7400,8,36,No More Credit Cards,debt_consolidation,231.89,7400,13.43,750-754,1
741,5300,7.68,36,HEALTHY TEETH,debt_consolidation,165.32,5300,0.58,810-814,1
742,5800,8.32,36,Loan to buy a car,major_purchase,182.61,5800,0.72,740-744,1
743,18000,17.99,60,Credit Card Debt Consolidation,debt_consolidation,456.99,18000,21.16,680-684,0
744,20000,10.62,36,Troy,debt_consolidation,651.2,20000,19.2,735-739,1
745,5000,12.99,36,Other Loan,other,168.45,5000,17.02,680-684,0
746,5000,6.62,36,Debt Consolidation,debt_consolidation,153.52,5000,20.19,765-769,0
747,11200,11.66,36,consolidate debt,debt_consolidation,370.19,11200,17.78,690-694,0
748,2500,14.22,36,MY Vacation,vacation,85.72,2500,0,680-684,0
749,8000,20.16,60,Debt Consolidation,debt_consolidation,212.67,8000,11.26,665-669,1
750,2000,16,36,Responsible female needs root canal,medical,70.32,2000,2.55,665-669,0
751,3000,14.42,36,To purchase computer & pay bills,major_purchase,51.58,1500,19.85,670-674,1
752,16000,11.66,36,Consolidate Debt,debt_consolidation,528.84,16000,13.47,700-704,1
753,20000,14.33,36,Business,small_business,686.77,20000,24.81,700-704,0
754,12000,12.84,36,To Pay off credit card debt,credit_card,403.42,12000,11.21,685-689,0
755,7000,14.96,36,Getting back my life,other,242.53,7000,9.65,660-664,0
756,5600,8.32,36,credit refi,credit_card,135.39,4300,17.04,750-754,1
757,6000,11.71,36,cash,major_purchase,198.46,6000,2.4,690-694,0
758,8000,16.49,36,Finance rescue,credit_card,283.2,8000,24.82,665-669,0
759,3000,9.07,36,Getting Rid of remaining debt...,credit_card,95.5,3000,3.03,725-729,0
760,6000,10.99,36,Debt Consolidation Loan,debt_consolidation,196.41,6000,15.86,705-709,0
761,35000,11.99,60,Debt Consolidation Loan,debt_consolidation,510.4,22950,6.13,775-779,1
762,18500,7.66,36,Allen's Debt Consolidation Loan,debt_consolidation,576.83,18500,10.33,755-759,1
763,15000,10.96,36,15000,other,472.81,14450,1.33,710-714,0
764,25000,11.48,36,Debt Consolidation,debt_consolidation,824.22,25000,9.9,775-779,1
765,12800,9.62,36,Grad School Paid,debt_consolidation,410.75,12800,15.87,710-714,1
766,15000,12.18,36,personal loan,debt_consolidation,499.5,15000,21.24,720-724,0
767,1500,9.62,36,laura and greg loan,vacation,48.14,1500,17.79,700-704,0
768,9000,5.99,36,secondchance,credit_card,273.76,9000,11.68,755-759,0
769,6000,14.11,36,Credit Card Consolidation,debt_consolidation,205.38,6000,21.3,660-664,0
770,1000,11.99,36,Maine Getaway,vacation,33.21,1000,4.39,685-689,0
771,22400,12.99,60,Well Loan,home_improvement,509.56,22400,2.7,780-784,0
772,3000,10.75,36,Disneyland,vacation,97.87,3000,18.39,715-719,0
773,9000,7.66,36,myloan,home_improvement,280.62,9000,9.1,760-764,1
774,7000,11.34,36,business loan,major_purchase,230.3,7000,5.69,680-684,1
775,18000,7.9,36,Fix debt 2011,debt_consolidation,563.23,18000,12.92,765-769,1
776,16000,8.9,36,Credit Card Loan,credit_card,508.06,16000,25.29,735-739,0
777,9875,7.51,36,REBALANCE 2010,credit_card,307.22,9875,6.64,730-734,1
778,22400,21.67,60,One Payment,debt_consolidation,614.47,22400,18.65,665-669,0
779,7000,7.88,36,Aspiring CPA,credit_card,218.97,7000,12.74,720-724,1
780,7000,6.54,36,My Loan,major_purchase,214.68,7000,20.04,730-734,1
781,25000,21.64,36,SOLID GREEN Business needs a little help,renewable_energy,950.12,25000,20.74,670-674,0
782,1800,8.88,36,pj mimi vacation,vacation,57.14,1800,24.56,710-714,0
783,6400,10.39,36,Debt Consolidation/ Amex,debt_consolidation,207.69,6400,14.79,710-714,1
784,24250,17.56,60,debt consolidation,debt_consolidation,610.01,24250,16.82,685-689,0
785,10000,8.59,36,Vacation,vacation,316.11,10000,8.52,810-814,1
786,22800,17.19,60,Pharmacist Credit Card Refinance Loan,credit_card,568.98,22800,8.87,695-699,0
787,6500,12.68,36,Charming Business Loan,small_business,218.02,6500,20.39,690-694,0
788,25000,16.02,60,credit cards,debt_consolidation,608.22,25000,24.62,730-734,0
789,12925,6.54,36,Debt Consolidation Loan,debt_consolidation,354.21,11550,13.15,730-734,1
790,6000,13.49,36,Start-Up Business,small_business,203.59,6000,14.19,700-704,0
791,6500,15.01,36,Business Financing Aug 2007,small_business,225.37,6500,6.45,675-679,0
792,6000,8.59,36,Engagement Ring,credit_card,189.67,6000,12.65,755-759,1
793,10000,9.91,60,home,home_improvement,212.03,10000,6.46,735-739,1
794,10000,17.39,36,consolidate bills,debt_consolidation,358.48,10000,22.35,670-674,0
795,4000,11.99,36,vacation loan,vacation,132.84,4000,22.43,685-689,1
796,3000,11.83,36,CONSOLIDATE DEBT,debt_consolidation,99.41,3000,9.43,690-694,1
797,5000,13.11,36,Main,debt_consolidation,168.74,5000,27.05,690-694,1
798,8500,10.59,36,debt consol,debt_consolidation,276.64,8500,5.76,700-704,1
799,12000,15.62,36,motorcycle loan,other,419.64,12000,20.83,675-679,1
800,2500,15.33,36,Major Purchase,major_purchase,87.08,2500,17.81,660-664,0
801,12000,14.96,36,Helping Younger Brother - School,educational,415.76,12000,8.83,695-699,0
802,9500,7.51,36,Debt Consolidation,debt_consolidation,295.56,9500,16.82,740-744,1
803,3200,6.76,36,Pay off credit cards,debt_consolidation,98.46,3200,8.34,770-774,1
804,2400,9.91,36,lending 2,debt_consolidation,77.34,2400,15.66,695-699,0
805,24000,13.61,60,debt consolidation,debt_consolidation,495.36,21475,6.39,740-744,1
806,1500,14.42,36,Medical Expenses,medical,51.58,1500,12.04,665-669,0
807,25000,20.77,60,Home Improvement Loan,home_improvement,673.11,25000,12.82,665-669,1
808,24250,18.25,60,debt consolidation,debt_consolidation,619.1,24250,16.08,705-709,0
809,3000,7.88,36,CBR1000,major_purchase,93.85,3000,8.16,745-749,1
810,7000,8.94,36,Automobile and Home fixing,car,222.41,7000,15.2,720-724,0
811,20000,13.43,36,Debt Consolidation,debt_consolidation,678.03,20000,10.26,715-719,0
812,13500,9.76,36,Debt consolidation,debt_consolidation,434.09,13500,16.94,720-724,1
813,25000,12.87,36,My Weding,major_purchase,840.83,25000,0.13,755-759,0
814,22750,23.13,60,Debt,debt_consolidation,643.04,22750,18.73,665-669,0
815,15000,12.69,60,Bill Consolidation,debt_consolidation,338.93,15000,4.68,730-734,0
816,11725,16.29,36,Rebuild,credit_card,413.9,11725,14.41,670-674,0
817,4500,14.46,36,Moving,moving,154.81,4500,13.51,670-674,0
818,7500,7.9,36,Debt Consolidation Loan,debt_consolidation,234.68,7500,12.32,720-724,0
819,10000,14.93,36,Working Capital to Grow,small_business,346.32,10000,20.58,680-684,0
820,15000,5.99,36,Other Loan,other,456.27,15000,1.55,780-784,1
821,35000,14.27,60,Debt Consolidation,debt_consolidation,819.3,35000,7.93,735-739,0
822,1875,8.49,36,credit card,credit_card,59.19,1875,24.47,720-724,0
823,5000,13.61,60,personal,major_purchase,115.34,5000,13.61,720-724,0
824,2500,7.14,36,Home Improvement,home_improvement,77.35,2500,9.05,750-754,1
825,12000,14.42,36,Consolidation,debt_consolidation,412.6,12000,7.91,680-684,0
826,15000,13.57,36,Wedding,wedding,509.53,15000,15.42,710-714,1
827,2400,16.4,60,Pay Down Debt,debt_consolidation,58.88,2400,13.64,660-664,0
828,4200,7.88,36,Major Purchase Loan,major_purchase,131.39,4200,1.42,805-809,1
829,35000,10.99,60,Moving Loan,moving,760.82,35000,1.1,805-809,1
830,5000,14.74,36,personal,educational,172.69,5000,9.81,685-689,0
831,4000,14.65,36,tax payment,other,137.98,4000,5.67,670-674,1
832,16000,7.49,36,Smart,renewable_energy,497.63,16000,3.28,745-749,1
833,9500,7.51,36,personal,debt_consolidation,295.56,9500,2.14,755-759,1
834,5000,12.53,36,Caitlin's Surgery Loan,other,167.34,5000,4.85,720-724,0
835,11500,11.58,36,Debt consolidation,debt_consolidation,379.66,11500,23.7,710-714,0
836,11000,16.69,60,Personal Loan ,small_business,271.55,11000,7.35,675-679,0
837,4000,5.79,36,Major Buy,major_purchase,121.31,4000,6.17,775-779,1
838,4000,5.99,36,The Upfront Loan,debt_consolidation,121.67,4000,4.29,735-739,0
839,5000,9.88,36,A QUICK PAY DAY,credit_card,161.06,5000,16.18,715-719,1
840,20000,20.3,60,Wedding Loan,wedding,533.23,20000,8.4,665-669,0
841,5400,10.99,36,jazz,debt_consolidation,176.77,5400,4.25,675-679,0
842,9000,15.96,36,Loan For Catch Up,debt_consolidation,316.24,9000,5.89,680-684,0
843,7000,6.03,36,Personal Loan,debt_consolidation,213.05,7000,1.73,770-774,1
844,15900,13.22,36,Believe,debt_consolidation,537.43,15900,20,700-704,1
845,4000,9.99,36,First Home,house,129.05,4000,22.7,685-689,1
846,8500,12.84,36,Debts and dentist,debt_consolidation,285.76,8500,24.43,730-734,1
847,6000,10.37,36,to pay my loan,small_business,194.65,6000,7.29,690-694,0
848,17500,13.48,36,jdf enterprises,credit_card,593.7,17500,3.31,710-714,1
849,10000,14.65,36,Major purchase,major_purchase,344.95,10000,0.3,695-699,1
850,2800,16.29,36,Debt Consolidation and Home Improvements,debt_consolidation,98.85,2800,13.66,660-664,0
851,12000,16.49,60,Consolidation,debt_consolidation,294.96,12000,15.69,690-694,1
852,4200,15.95,60,Jeremy's Loan,debt_consolidation,102.03,4200,19.78,665-669,0
853,20000,12.99,60,Debt Consolidation Loan,debt_consolidation,454.96,20000,22.69,745-749,1
854,15000,7.9,36,debt consolidation,debt_consolidation,469.36,15000,16.67,730-734,0
855,5950,12.73,36,Debt Payoff,credit_card,199.72,5950,1.66,680-684,1
856,15000,9.76,36,Small Business Loan,small_business,482.32,15000,22.4,725-729,0
857,7000,11.11,60,Solution,debt_consolidation,152.59,7000,8.2,710-714,0
858,18000,12.18,36,Debt Consolidation to buy a House,debt_consolidation,599.4,18000,9.28,720-724,1
859,6000,7.29,36,dan ,major_purchase,186.06,6000,10.35,725-729,1
860,9500,7.51,36,Car Loan,car,295.56,9500,2.78,735-739,1
861,7500,8.9,36,credit card consolidation,credit_card,238.15,7500,7.85,765-769,1
862,16000,14.65,36,Credit Cards Paid,credit_card,551.91,16000,19.44,700-704,0
863,13000,16.02,60,Car Loan,car,316.28,13000,13.29,700-704,1
864,3000,14.83,60,car repair,major_purchase,71.11,3000,9.47,715-719,0
865,4000,12.73,36,Helping Hand,debt_consolidation,134.26,4000,14.81,715-719,0
866,10000,13.62,36,Stop Look Loan,other,339.94,10000,0,670-674,1
867,3000,7.9,36,Payoff FIA Card,credit_card,93.88,3000,9.09,715-719,1
868,9500,10.38,36,Debt Consolidation,debt_consolidation,308.24,9500,16.34,720-724,1
869,15000,18.17,60,home improvement,home_improvement,382.29,15000,16.53,660-664,0
870,12000,17.58,36,debt consolidation,debt_consolidation,431.31,12000,21.46,665-669,1
871,9500,13.98,60,Pay off debt,debt_consolidation,220.95,9500,11.47,700-704,0
872,25000,15.37,36,Expansion of Fetch! Pet Care Franchise,major_purchase,871.16,25000,23.85,675-679,0
873,6000,11.99,36,ING,debt_consolidation,199.26,6000,22.27,720-724,1
874,15250,15.68,36,Home improvement project,home_improvement,533.78,15250,10.98,715-719,0
875,11700,12.12,36,my loan,debt_consolidation,389.28,11700,17.82,705-709,1
876,16000,14.09,36,Consolidation Loan Personal one payment,debt_consolidation,547.55,16000,3.05,680-684,1
877,9200,10.36,60,Debt Consolidation Loan,debt_consolidation,197.11,9200,13.22,705-709,1
878,8400,11.49,60,Wedding Wiggle Room,wedding,184.7,8400,20.11,725-729,1
879,20000,16.82,60,Loan Club,debt_consolidation,495.12,20000,4.24,680-684,0
880,10800,9.76,36,Help pay for sons' education,educational,347.27,10800,10.97,720-724,1
881,7500,7.05,36,Loan1,car,231.75,7500,0,730-734,0
882,15000,12.61,60,Inventory Expansion For Tech Retail Biz,small_business,218.78,9700,8.04,725-729,0
883,5000,7.88,36,goodbye credit cards,debt_consolidation,156.41,5000,14.84,720-724,0
884,23975,17.93,36,Debt consolidated,debt_consolidation,865.92,23975,23.44,670-674,0
885,27000,20.5,60,Debt consolidation,debt_consolidation,722.87,27000,22.66,695-699,1
886,6000,10.51,36,Join my debt together to focus resources,debt_consolidation,195.05,6000,14.36,725-729,1
887,12000,10.59,36,Personal Loan,debt_consolidation,390.54,12000,19.84,700-704,1
888,7500,9.99,36,Medical Loan,medical,241.97,7500,12.46,705-709,1
889,20000,12.21,36,Loan to pay high interest debt.,debt_consolidation,666.3,20000,12.02,720-724,0
890,12000,9.76,36,2007Tax,other,385.86,12000,8.65,725-729,0
891,15000,17.58,36,Credit Card Loan,credit_card,539.14,15000,15.96,665-669,1
892,7500,14.27,36,personal,other,257.32,7500,23.81,665-669,0
893,5000,12.61,36,Vacation & Lasik Surg,vacation,167.54,5000,20.64,680-684,1
894,5350,13.06,36,Phoenix2011,debt_consolidation,180.42,5350,23.73,675-679,0
895,9000,12.69,36,Debt consolidation,credit_card,301.91,9000,17.76,695-699,1
896,26250,16.89,60,Consolidate 1,debt_consolidation,650.83,26250,3.21,740-744,0
897,12800,15.2,36,Last Round,debt_consolidation,444.98,12800,10.02,665-669,1
898,10000,15.8,36,Credit Card Refinance,credit_card,350.59,10000,21.36,680-684,1
899,4000,16.89,60,Moving expenses,other,99.18,4000,4.02,675-679,0
900,10000,13.11,36,Back In The Past Collectibles Loan,small_business,337.45,10000,17.07,705-709,0
901,20000,13.85,36,spa,debt_consolidation,682.08,20000,8.16,695-699,1
902,8500,12.42,36,Debt Consolidation,debt_consolidation,284.03,8500,8.94,740-744,0
903,10000,18.25,60,Bill consolidation,debt_consolidation,255.3,10000,12.95,720-724,0
904,4000,12.21,36,Moving to Ohio for Grad School,moving,133.26,4000,13.54,745-749,1
905,3600,15.99,36,my debt ,debt_consolidation,126.55,3600,22.05,660-664,0
906,13800,17.49,60,inneed,medical,346.62,13800,1.68,710-714,0
907,7500,11.91,36,debt consolidation,debt_consolidation,201.52,6075,14.33,680-684,0
908,10000,13.24,36,Dartmouth Fund,educational,338.1,10000,7.31,665-669,0
909,8000,7.49,36,Credit card consolidation,debt_consolidation,248.82,8000,10.67,725-729,1
910,18000,15.31,60,My loan,major_purchase,431.16,18000,1.93,725-729,1
911,5000,9.91,36,lifesaver,debt_consolidation,161.13,5000,17.85,705-709,0
912,12000,8.88,36,Debty Consolidation Loan,debt_consolidation,380.93,12000,10.63,715-719,1
913,3000,6.76,36,KLT1960,major_purchase,92.31,3000,24.94,755-759,1
914,7000,5.79,36,Personal Loan,credit_card,212.29,7000,14.44,765-769,0
915,8800,11.36,36,LIFE SAVER,credit_card,289.61,8800,22.62,695-699,1
916,9500,10.38,60,business loan,small_business,203.63,9500,13.64,755-759,0
917,6600,15.33,60,Credit card refinance,credit_card,158.16,6600,12.63,700-704,0
918,1800,8.59,36,matt,other,56.9,1800,8.95,720-724,1
919,25000,14.17,60,debt consolidation,debt_consolidation,583.92,25000,23.41,725-729,0
920,20000,18.91,60,Debt Consolidation,debt_consolidation,517.83,20000,20.7,665-669,0
921,15000,16,36,Pay off bills,debt_consolidation,527.36,15000,15.57,665-669,0
922,13000,14.59,36,Credit card Consolidation,debt_consolidation,448.05,13000,13.64,675-679,1
923,20950,14.79,60,Debt Consolidation Loan,debt_consolidation,496.1,20950,14.37,730-734,1
924,20000,12.18,36,Credit Card Consolidation,debt_consolidation,666,20000,22.32,725-729,1
925,25000,24.2,60,Help ,debt_consolidation,722.11,25000,20.2,670-674,1
926,4600,15.62,36,Debt Consolidation Loan,debt_consolidation,160.87,4600,12.2,665-669,0
927,18000,16.4,36,Get id of high interest cards,credit_card,636.39,18000,24.03,670-674,0
928,10000,13.87,36,debt consolidation,debt_consolidation,341.15,10000,24.72,700-704,0
929,17500,11.48,36,Consolidating 2 High Interest Cards,debt_consolidation,576.95,17500,11.71,735-739,1
930,3000,11.49,36,a/c,home_improvement,98.92,3000,18.11,710-714,1
931,6000,7.88,36,personal,debt_consolidation,187.69,6000,4.46,730-734,0
932,12000,13.49,60,Debt consolidation,debt_consolidation,276.06,12000,20.46,700-704,0
933,9900,6.99,36,Relocation Loan,moving,305.64,9900,18.85,760-764,1
934,5300,12.61,60,Just a Little Help,debt_consolidation,119.54,5300,15.54,680-684,0
935,8975,14.33,36,Other,other,308.19,8975,15.11,715-719,0
936,5600,10.64,36,Alternative Vehicle,major_purchase,182.39,5600,4.26,695-699,1
937,10000,10.37,36,Home Update,home_improvement,324.42,10000,9.54,715-719,0
938,25000,11.83,36,Home Remodel,home_improvement,828.35,25000,2.51,800-804,0
939,3625,11.11,36,Trucking,other,118.87,3625,22.9,665-669,0
940,4000,10.38,36,for my car,major_purchase,129.79,4000,3.72,765-769,1
941,1400,7.9,36,auto repair,other,43.81,1400,10,745-749,1
942,11200,8.49,36,Mpn_consolidation,debt_consolidation,353.51,11200,8.73,735-739,1
943,11500,12.21,36,Engagement Ring,other,383.13,11500,1.05,735-739,1
944,6000,6.92,36,Target Loan,credit_card,185.05,6000,19.67,740-744,1
945,5000,13.48,36,Harvard!,major_purchase,169.63,5000,3.13,695-699,0
946,30000,19.72,36,Debt Consolidation,debt_consolidation,1110.64,30000,7.24,685-689,1
947,9000,12.84,36,Personal loan,debt_consolidation,302.57,9000,9.68,710-714,1
948,10000,8,36,Rigler debt consolidation,debt_consolidation,313.37,10000,4.9,795-799,1
949,12000,9.63,36,Loanmike,debt_consolidation,385.14,12000,11.76,750-754,0
950,8000,12.87,36,Trim down the credit cards.,credit_card,269.07,8000,3.49,725-729,0
951,7750,9.99,36,Jonathan's Consoldation and Home Improve,home_improvement,250.04,7750,18.7,695-699,0
952,5000,13.61,36,tradeacadamy,small_business,169.95,5000,16.32,685-689,1
953,1500,8,36,Personal,other,47.01,1500,14.73,765-769,0
954,15000,14.26,36,DebtConsolidation,debt_consolidation,514.59,15000,8.94,680-684,1
955,16800,16.89,60,CREDIT CARD CONSOLIDATION,debt_consolidation,416.54,16800,10.85,690-694,0
956,9000,12.23,60,Expand My Real Estate Company,small_business,201.25,9000,24.89,715-719,0
957,9600,17.27,36,debt consolidation,debt_consolidation,343.56,9600,16.42,680-684,0
958,4000,15.62,36,consolidation,debt_consolidation,139.88,4000,10.82,660-664,0
959,26400,18.39,60,Debt Consolidation Loan,debt_consolidation,676.01,26400,12.28,710-714,1
960,16500,11.71,36,Credit Card Consolidation,credit_card,545.76,16500,11.05,725-729,0
961,14000,12.61,60,Jo-Loan,debt_consolidation,190.59,8450,13.88,690-694,0
962,3825,15.96,36,Debt Consolidation,debt_consolidation,134.41,3825,23.54,660-664,0
963,16800,15.62,36,Debt Consolidation Loan,debt_consolidation,587.5,16800,19.03,685-689,1
964,9000,11.58,36,Pay off debt faster,debt_consolidation,297.13,9000,14.03,705-709,0
965,2400,12.61,60,lily,renewable_energy,54.13,2400,12.5,690-694,0
966,9450,10.37,36,Home Improvement,home_improvement,306.57,9450,16.69,695-699,0
967,16300,17.27,60,Personal,debt_consolidation,407.47,16300,9.48,720-724,1
968,19500,13.49,60,home improvement,home_improvement,448.6,19500,16.9,750-754,0
969,6000,10.99,36,Credit card payoff,debt_consolidation,196.41,6000,6.21,695-699,1
970,18000,11.83,36,9.09 Loan,credit_card,596.41,18000,12.92,740-744,1
971,20000,14.42,36,Buying the Lot next to my home,major_purchase,687.66,20000,16.97,695-699,1
972,10000,7.75,36,Mobile home purchase,major_purchase,312.22,10000,0,785-789,0
973,6000,9.76,36,Kimberly's Get Out of Debt,debt_consolidation,192.93,6000,5.43,705-709,1
974,8000,14.96,36,Wedding Expenses,wedding,277.16,8000,6.65,660-664,1
975,28000,21.74,60,Debt Consolidation Loan,debt_consolidation,769.2,28000,9.81,660-664,0
976,7200,20.5,60,Medical,debt_consolidation,192.77,7200,16.28,660-664,1
977,10000,6.92,36,Small Business Loan,small_business,308.41,10000,7.8,770-774,0
978,12000,9.99,60,Loan 1,debt_consolidation,161.45,7600,19.16,725-729,0
979,12000,15.65,60,Other,other,289.59,12000,9.39,680-684,0
980,15000,15.95,60,Small Business Loan,small_business,364.38,15000,6.17,720-724,0
981,6000,10.46,36,Arborist Needing Truck - thanks.,car,194.91,6000,5.06,685-689,1
982,22250,12.12,36,MEDICAL PROCEDURE,medical,740.3,22250,26.92,725-729,0
983,5000,12.73,36,Bill Consolidation,other,167.84,5000,15.76,680-684,0
984,9000,12.21,36,"DREAM HOME ""IT IS A BUYER'S MARKET NOW""",house,299.84,9000,12.27,695-699,0
985,20000,13.11,36,Loan for MAJ D,small_business,674.9,20000,9.21,730-734,0
986,3450,9.99,60,Consolidation Loan ,other,73.29,3450,11.81,735-739,0
987,9000,12.87,36,Personal loan,debt_consolidation,302.7,9000,4.43,685-689,1
988,5600,8.59,36,Personal Honeymoon Wedding Loan,wedding,177.02,5600,12.15,735-739,0
989,30000,19.69,60,home,debt_consolidation,789.66,30000,21.91,700-704,1
990,1375,11.11,36,Debt Consolidation Loan,debt_consolidation,45.09,1375,2.1,730-734,0
991,14000,16.32,60,Credit Card Refinance,credit_card,342.84,14000,9.7,685-689,1
992,16750,14.96,36,personal  loan,other,580.33,16750,2.8,700-704,1
993,10000,13.24,36,personal loan,debt_consolidation,338.1,10000,18.2,670-674,1
994,16400,13.79,36,Investment in a Green Company Index,small_business,558.84,16400,17.43,680-684,1
995,13000,17.51,60,PERSONALLY FOR ME,debt_consolidation,326.66,13000,21.74,710-714,0
996,9600,17.49,60,Debt Consolidation Loan,debt_consolidation,241.13,9600,13.77,675-679,0
997,5400,8.94,36,Debt Consilidation Loan,debt_consolidation,171.57,5400,10.48,730-734,1
998,35000,19.03,60,Debt Consolidation Loan,debt_consolidation,908.5,35000,16.94,705-709,0
999,7500,12.12,36,Consol Loan,debt_consolidation,249.54,7500,10.37,695-699,1
1000,15000,15.68,36,High interest cedit cards,debt_consolidation,525.03,15000,22.16,670-674,0
1001,8500,6.17,36,debt_consolidation,debt_consolidation,259.25,8500,22.9,740-744,0
1002,8000,15.58,36,Credit card & medical bill consolidation,debt_consolidation,279.61,8000,12.01,665-669,0
1003,2500,12.18,36,Home Improvement,other,83.25,2500,22.41,685-689,0
1004,20000,10.59,60,Small Business Loan,small_business,430.78,20000,8.7,770-774,0
1005,12000,15.68,36,Expanding an Online Business,small_business,420.02,12000,17.57,710-714,1
1006,4800,11.09,36,Pay Off Bank of America Card,debt_consolidation,157.36,4800,11.37,675-679,1
1007,5000,11.83,36,GE,major_purchase,165.67,5000,5.66,700-704,0
1008,32775,18.39,60,Debt Reduction,debt_consolidation,514.69,20100,16.41,705-709,0
1009,7500,11.03,36,better rate,debt_consolidation,166.23,5075,17.37,690-694,1
1010,4800,14.35,36,Looking for Used Reliable family car,car,164.87,4800,13.8,665-669,1
1011,5775,9.63,36,Surgery,medical,185.35,5775,7.15,730-734,0
1012,5000,11.86,36,roof,home_improvement,165.74,5000,9.3,690-694,0
1013,10000,11.46,36,Build a New Product Line and Website,small_business,329.57,10000,21.69,720-724,1
1014,6500,7.74,36,Scott's getting his Master's Degree,debt_consolidation,202.93,6500,18,785-789,1
1015,4800,8.49,36,motorcycle,other,151.51,4800,22.77,705-709,0
1016,5000,12.73,36,Short Term Investment,major_purchase,167.84,5000,1.53,680-684,0
